trade_id,price,amount,direction,timestamp
,119307.1,2,buy,2025-08-12 14:56:58.331
,119307.1,142,buy,2025-08-12 14:57:04.513
,119307.1,332,buy,2025-08-12 14:57:04.513
,119307.1,332,buy,2025-08-12 14:57:04.513
,119307.1,110,buy,2025-08-12 14:57:04.513
,119307.1,94,buy,2025-08-12 14:57:04.513
,119307.1,112,buy,2025-08-12 14:57:04.513
,119307.1,266,buy,2025-08-12 14:57:04.513
,119307.1,66,buy,2025-08-12 14:57:04.513
,119307.1,102,buy,2025-08-12 14:57:04.513
,119307.1,18,buy,2025-08-12 14:57:04.513
,119307.1,418,buy,2025-08-12 14:57:04.513
,119307.1,8,buy,2025-08-12 14:57:04.513
,119307.0,2,sell,2025-08-12 14:57:05.010
,119307.1,2,buy,2025-08-12 14:57:06.164
,119307.0,18,sell,2025-08-12 14:57:10.077
,119307.1,2,buy,2025-08-12 14:57:11.235
,119307.1,2,buy,2025-08-12 14:57:11.598
,119307.1,20,buy,2025-08-12 14:57:12.071
,119307.0,2,sell,2025-08-12 14:57:13.495
,119291.5,6,sell,2025-08-12 14:56:22.361
,119291.5,36,sell,2025-08-12 14:56:27.879
,119291.5,30,sell,2025-08-12 14:56:30.473
,119291.6,82,buy,2025-08-12 14:56:36.843
,119291.5,2,sell,2025-08-12 14:56:39.044
,119291.6,110,buy,2025-08-12 14:56:40.123
,119291.6,8,buy,2025-08-12 14:56:43.783
,119291.6,2,buy,2025-08-12 14:56:46.352
,119291.6,66,buy,2025-08-12 14:56:46.352
,119291.8,10,buy,2025-08-12 14:56:46.850
,119305.0,2,buy,2025-08-12 14:56:47.120
,119307.1,6,buy,2025-08-12 14:56:50.707
,119307.1,52,buy,2025-08-12 14:56:51.243
,119307.1,58,buy,2025-08-12 14:56:51.243
,119307.1,2,buy,2025-08-12 14:56:58.331
,119307.1,142,buy,2025-08-12 14:57:04.513
,119307.1,332,buy,2025-08-12 14:57:04.513
,119307.1,332,buy,2025-08-12 14:57:04.513
,119307.1,110,buy,2025-08-12 14:57:04.513
,119307.1,94,buy,2025-08-12 14:57:04.513
,119307.1,112,buy,2025-08-12 14:57:04.513
,119307.1,266,buy,2025-08-12 14:57:04.513
,119307.1,66,buy,2025-08-12 14:57:04.513
,119307.1,102,buy,2025-08-12 14:57:04.513
,119307.1,18,buy,2025-08-12 14:57:04.513
,119307.1,418,buy,2025-08-12 14:57:04.513
,119307.1,8,buy,2025-08-12 14:57:04.513
